X,Y,Z,Name,24,EasyPay
24.0370969,49.8356706,0,вул.К.Левицького,"вул. К. Левицького, 4 (у магазині ""Продукти""), вул. К.Левицького, 15 (у магазині ""Свій Маркет"")","вул. К.Левицького, 37"
24.0197468,49.8367358,0,вул.Крушельницької,,"вул. Дорошенка, 37 (маг. ""Рукавичка"")"
24.0250813,49.8504524,0,вул. Під Дубом,"вул. Під Дубом, 2 (у приміщенні ""А-Банк"")","вул. Під Дубом, 2А, 4А"
24.0177319,49.8371178,0,вул.Матейка,,"вул. Листопадового Чину, 11 (магазин ""Маркет""), Січових Стрільців, 16, 17, вул. Дорошенка, 37"
24.0228364,49.8455179,0,вул. Котлярська,"вул. Шпитальна, 9 (у магазині Копійочка), 11 (у магазині ""АТБ"")","вул. Шпитальна, 13, 9"
24.0144756,49.8340527,0,вул. Політехнічна,"вул. С. Бандери,25","вул. С. Бандери, 17"
24.0075493,49.8342375,0,вул. Русових,"вул. С. Бандери, 25","вул. С. Бандери, 71"
24.0026944,49.8365221,0,вул. Тобілевича,,"вул. Федьковича, 8, 26(маг. ""Близенько"")"
24.0469539,49.8361442,0,"вул.Пекарська (від вул. Тершаковців до вул. Мечникова), вул. Шімзерів","вул. Пекарська, 31 (у магазин ""Свій маркет"")","вул. Пекарська,33"
24.0151065,49.843129,0,вул. Шевченка,"вул. Шевченка, 42А (у магазині ""Близенько"")","вул. Шевченка, 24"
24.0144984,49.8346442,0,вул. Бандери,"вул. С. Бандери, 15, 25 (у магазині ""Свій маркет"") 29, 69 (у магазині ""Близенько"")","вул. С. Бандери, 17, 71"
24.02026,49.8448202,0,вул. Шолом-Алейхема,"вул. Шолом Алейхема, 1 (у магазині ""Воля"")","вул. Городоцька, 37"
24.0114878,49.8353193,0,вул. Старосольських,,"вул. Листопадового Чину, 11"
24.0128827,49.8352869,0,вул. Архітекторська,,"вул. Листопадового Чину, 11, вул. С.Бандери, 17"
24.0020627,49.834833,0,вул. Федьковича,,"Федьковича, 6, Федьковича, 26 (маг. ""Близенько"")"
24.0210607,49.8451733,0,вул. Д. Гусяк,,"вул. Шпитальна, 9, 13, 30"
24.009504,49.8330907,0,вул. Київська,"вул. Глибока, 20 (у магазині ""Близенько"")","вул. Коперника, 43, вул. Вербицького, 6"
24.0163568,49.8327768,0,вул. Нечуя-Левицького,,"вул. Нечуя-Левицького, 7"
24.0189115,49.8334678,0,вул.Коперника (від. перехрестя з вул. Вербицького до вул. Грабовського),,"вул. Коперника, 43, вул. Вербицького, 6"
24.0012772,49.8358233,0,вул. Горської,"вул. Городоцька, 151 (біля магазину ""Взуття від виробника"")","вул. Федьковича, 26 (маг. ""Близенько""), вул. Горської, 9"
24.0024808,49.8346675,0,пл. Берестейської Унії,,"вул. Федьковича, 26 (маг. ""Близенько""), пл. Липнева, 9"
24.0165472,49.8383688,0,вул. Листопадового Чину,,"вул. Листопадового Чину, 11 (маг. ""Маркет"")"
24.017833,49.8338377,0,вул. Вербицького,,"вул. Коперника, 43, вул. Вербицького, 6"
24.0411141,49.8333906,0,вул. Вагилевича,"вул. Зелена,28 (у магазині ""Свій маркет"")","вул. Зелена, 26"
24.0109304,49.8340656,0,вул. Єфремова,,"вул. Коновальця, 7"
24.0091786,49.8343641,0,вул. Коновальця,,"вул. Коновальця, 7"
24.0182626,49.8342812,0,вул. Ірини Калинець,,"вул. Вербицького, 6"
24.0420872,49.8387488,0,вул. Патріарха Димитрія Яреми,"вул. Пекарська, 31 (у магазині ""Свій маркет"")","вул. Патріарха Димитрія Яреми, 12, 2 (у магазині ""Близенько"")"
24.0296725,49.8469085,0,вул. Пильникарська,"вул. Богдана Хмельницького, 12 (на зупинці)","вул. Богдана Хмельницького, 17"
24.0299238,49.8300665,0,вул. Коцюбинського,"вул. І.Франка,69 (у магазині ""Близенько"")","вул. І. Франка, 66"
24.030769,49.8321414,0,вул. Кирила і Мефодія,,"вул. Грушевського, 9, 7 (маг. ""Близенько"")"
24.0400195,49.8334716,0,вул. Дороша,,"вул. Зелена, 29, вул. Левицького,37"
24.0385446,49.8373536,0,вул. Туган-Барановського,"вул. Пекарська, 11а (у магазині ""Hud Fud""), вул. Тершаковців,1 9 у магазині ""Рукавичка"")","вул. Пекарська, 26"
24.0271171,49.8471964,0,пл. Святого Теодора,,"пл. Святого Теодора, 11"
24.0259277,49.8291776,0,вул. Зарицьких,"вул. Зарицьких, 5 (у магазині ""Близенько"")","навпроти вул. Зарицьких, 18"
24.0446132,49.8278603,0,вул. Водогінна,,"вул. Зелена, 77а"
24.0197165,49.8411069,0,вул. Щепкіна,"вул. Лепкого, 11, вул. Огієнка, 8 (у магазині ""Свій маркет)","вул. Городоцька, 37, 51"
24.0304201,49.8294652,0,вул. Генерала М. Арсенича,"вул. Зарицьких, 5 (у магазині ""Близенько"")","навпроти вул. Зарицьких, 18, вул. І. Франка, 79"
24.0500607,49.8382456,0,вул. Юрія Руфа,,"вул. Юрія Руфа, 4, 19 (магазин ""Маркет Економ"")"
24.0345771,49.8321469,0,вул. М.Костомарова,"вул. Костомарова 1-3 (пекарня ""Ваш Лаваш""), вул. І.Франка, 35 (у магазині ""Близенько"")","вул. Шота Руставелі, 4, вул. Шота Руставелі, 4 (магазин ""Сім23"")"
24.0197545,49.8440255,0,вул.Академіка Р.Кучера,"вул. Шолом Алейхема, 1 (у магазині ""Воля"")","вул. Городоцька, 37"
24.0159639,49.8466561,0,вул. Клепарівська,,"вул. Клепарівська, 16 (біля входу в Краківський ринок)"
24.0468496,49.8297553,0,вул. Студентська,,"вул. Зелена,56, 77 (тролейбусна зупинка)"
24.045224,49.8311189,0,вул. Дніпровська,,"вул. Зелена,56, 77 (тролейбусна зупинка)"
24.0175785,49.8404285,0,вул. Гоголя,,"вул. Городоцька, 67"
24.0316212,49.830454,0,вул. І. Франка,"вул. І.Франка, 69 (у магазині ""Близенько"")","І.Франка,66 (зупинка гр.тра-ту)"
24.0255765,49.8488074,0,вул. Ак. Люльки,,"вул. Куліша,34,43"
24.0173475,49.8367481,0,вул. І. Вакарчука,,"вул. Листопадового Чину, 11 (магазин ""Маркет"")"
24.0468113,49.8307175,0,вул. Володимира Івасюка,"вул. К. Левицького, 37","вул. Зелена, 56, 77 (тролейбусна зупинка)"
24.0116036,49.8334102,0,вул. Японська,,"вул. Коновальця,7"
24.0144032,49.8332718,0,вул.І Богуна,,"вул. А.Сахарова,8 (у супермаркеті ""Близенько"")"
